2011-04-20 13:36:28 Notice: Notice (8): Undefined property: UploadsController::$Post in [/Applications/MAMP/htdocs/itcrowd/controllers/uploads_controller.php, line 22]
2011-04-20 14:01:15 Notice: Notice (8): Undefined index: fileToUpload in [/Applications/MAMP/htdocs/itcrowd/controllers/uploads_controller.php, line 25]
2011-04-20 14:01:37 Notice: Notice (8): Undefined index: fileToUpload in [/Applications/MAMP/htdocs/itcrowd/controllers/uploads_controller.php, line 25]
2011-04-20 19:26:11 Notice: Notice (8): Undefined property: UploaderComponent::$Session in [/Applications/MAMP/htdocs/itcrowd/controllers/components/uploader.php, line 13]
2011-04-28 16:10:14 Notice: Notice (8): Undefined index: Upload in [/Applications/MAMP/htdocs/itcrowd/controllers/uploadcomments_controller.php, line 23]
2011-04-28 17:10:28 Notice: Notice (8): Undefined variable: uploadcomment in [/Applications/MAMP/htdocs/itcrowd/views/uploads/view.ctp, line 112]
2011-04-28 17:10:28 Notice: Notice (8): Trying to get property of non-object in [/Applications/MAMP/htdocs/itcrowd/views/uploads/view.ctp, line 112]
2011-04-28 17:10:35 Notice: Notice (8): Undefined variable: uploadcomment in [/Applications/MAMP/htdocs/itcrowd/views/uploads/view.ctp, line 112]
2011-04-28 17:10:35 Notice: Notice (8): Trying to get property of non-object in [/Applications/MAMP/htdocs/itcrowd/views/uploads/view.ctp, line 112]
2011-04-28 22:58:56 Notice: Notice (8): Undefined property: View::$Object in [/Applications/MAMP/htdocs/itcrowd/views/uploads/view.ctp, line 110]
2011-04-28 22:59:09 Notice: Notice (8): Undefined property: View::$Base in [/Applications/MAMP/htdocs/itcrowd/views/uploads/view.ctp, line 110]
2011-04-28 22:59:35 Notice: Notice (8): Undefined property: View::$View in [/Applications/MAMP/htdocs/itcrowd/views/uploads/view.ctp, line 110]
2011-04-28 22:59:50 Notice: Notice (8): Undefined property: View::$Uploads in [/Applications/MAMP/htdocs/itcrowd/views/uploads/view.ctp, line 110]
2011-04-28 22:59:53 Notice: Notice (8): Undefined property: View::$Upload in [/Applications/MAMP/htdocs/itcrowd/views/uploads/view.ctp, line 110]
2011-04-28 23:00:12 Notice: Notice (8): Use of undefined constant Form - assumed 'Form' in [/Applications/MAMP/htdocs/itcrowd/views/uploads/view.ctp, line 110]
2011-04-28 23:00:12 Notice: Notice (8): Object of class View could not be converted to int in [/Applications/MAMP/htdocs/itcrowd/views/uploads/view.ctp, line 110]
2011-04-28 23:07:50 Notice: Notice (8): Undefined index: id in [/Applications/MAMP/htdocs/itcrowd/views/uploads/view.ctp, line 113]
2011-04-28 23:08:44 Notice: Notice (8): Undefined index: id in [/Applications/MAMP/htdocs/itcrowd/views/uploads/view.ctp, line 113]
2011-04-28 23:09:40 Notice: Notice (8): Undefined index: id in [/Applications/MAMP/htdocs/itcrowd/views/uploads/view.ctp, line 113]
2011-04-29 14:22:58 Notice: Notice (8): Use of undefined constant php - assumed 'php' in [/Applications/MAMP/htdocs/itcrowd/views/layouts/default.ctp, line 26]
2011-04-29 14:23:48 Notice: Notice (8): Use of undefined constant php - assumed 'php' in [/Applications/MAMP/htdocs/itcrowd/views/layouts/default.ctp, line 46]
2011-04-29 14:33:54 Notice: Notice (8): Undefined variable: header in [/Applications/MAMP/htdocs/itcrowd/views/uploads/view.ctp, line 4]
2011-04-29 14:52:07 Notice: Notice (8): Undefined property: View::$Paginator in [/Applications/MAMP/htdocs/itcrowd/views/pages/index.ctp, line 5]
2011-04-29 14:53:45 Notice: Notice (8): Undefined variable: uploads in [/Applications/MAMP/htdocs/itcrowd/views/pages/index.ctp, line 14]
2011-04-29 14:53:45 Notice: Notice (8): Undefined index: count in [/Applications/MAMP/htdocs/basic/cake/libs/view/helpers/paginator.php, line 543]
2011-04-29 14:53:45 Notice: Notice (8): Undefined index: options in [/Applications/MAMP/htdocs/basic/cake/libs/view/helpers/paginator.php, line 546]
2011-04-29 14:53:45 Notice: Notice (8): Undefined index: count in [/Applications/MAMP/htdocs/basic/cake/libs/view/helpers/paginator.php, line 547]
2011-04-29 14:53:45 Notice: Notice (8): Undefined index: count in [/Applications/MAMP/htdocs/basic/cake/libs/view/helpers/paginator.php, line 548]
2011-04-29 14:53:45 Notice: Notice (8): Undefined index: page in [/Applications/MAMP/htdocs/basic/cake/libs/view/helpers/paginator.php, line 564]
2011-04-29 14:53:45 Notice: Notice (8): Undefined index: current in [/Applications/MAMP/htdocs/basic/cake/libs/view/helpers/paginator.php, line 566]
2011-04-29 14:53:45 Notice: Notice (8): Undefined index: count in [/Applications/MAMP/htdocs/basic/cake/libs/view/helpers/paginator.php, line 567]
